DATE,age,avg_bg,bmr,body_fat,e_caffeine,e_calcium,e_calories,e_carbs,e_cholesterol,e_count,e_fat,e_fiber,e_iron,e_monounsaturated_fat,e_num_drinks,e_num_foods,e_num_mealitems_green,e_num_mealitems_red,e_num_mealitems_with_score,e_num_mealitems_yellow,e_num_water,e_polyunsaturated_fat,e_potassium,e_protein,e_sat_fat,e_sodium,e_sugar,e_trans_fat,e_unsat_fat,e_vitamin_a,e_vitamin_c,gender,goal_body_weight,goal_body_weight_intent,height,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_steps_3am,m_total_calories,m_workout_count,m_workout_time,max_bg,min_bg,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_clinical_deep,n_count,n_deep,n_duration,n_light,n_quality,n_rem,n_to_bed_phr,num_readings,rhr,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_clinical_deep,s_count,s_deep,s_duration,s_light,s_quality,s_rem,s_to_bed_phr,weight
20160324,24.035616438356165,,1386.2649130627397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.2649130627397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160325,24.03835616438356,,1386.252103199726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.252103199726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160326,24.041095890410958,,1386.2392933367123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.2392933367123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160327,24.043835616438358,,1386.2264834736986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.2264834736986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160328,24.046575342465754,,1386.213673610685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.213673610685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160329,24.04931506849315,,1386.200863747671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.200863747671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160330,24.052054794520547,,1386.1880538846574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.1880538846574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160331,24.054794520547944,,1386.1752440216437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.1752440216437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160401,24.057534246575344,,1386.16243415863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.16243415863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160402,24.06027397260274,,1386.1496242956164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.1496242956164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160403,24.063013698630137,,1386.1368144326027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.1368144326027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160404,24.065753424657533,,1386.124004569589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.124004569589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160405,24.068493150684933,,1386.1111947065754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.1111947065754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160406,24.07123287671233,,1386.0983848435617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.0983848435617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160407,24.073972602739726,,1386.0855749805478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.0855749805478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160408,24.076712328767123,,1386.0727651175341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.0727651175341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160409,24.07945205479452,,1386.0599552545204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.0599552545204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
